Date,IWM,QQQ,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
1990-01-02,0.009930046674922184,0.018671630857788734,0.01859937090971555,0.02105074348962738,0.0127089738080267,-0.0008251411643571937,0.009019715646836641,0.01985713480673437,0.027783524398332437,0.013268269644884824,0.009654978452699808,0.013640200979175822,0.013192822077337914,0.029162278733714436
1990-01-03,0.0036408629634314027,-0.007374825169377697,-0.0024316343200436103,0.0058504888702053835,-0.0023055783639279927,-0.00550198715391908,0.008443508201959726,0.004457530062238281,-0.008571304428727907,0.004891832818386501,-0.0015507467741210554,-0.00720610638402705,0.002923144391438827,0.003154982011830799
1990-01-04,-0.003990898029082661,-0.007259557667667147,-0.00875654286843343,-0.005146120309743246,-0.01602348944397996,-0.015246552528088486,-0.006415465854010699,0.00010282452580055924,-0.0044207401127510405,-0.003916762902962903,0.0005884744427345386,-0.014937069082950245,-0.001557002781063337,0.002481560350535787
1990-01-05,-0.0027114676257072963,-0.0079932759534933,-0.009822812129578288,-0.002561029977681431,-0.005540081703173374,-0.0100109118984812,-0.006203248420841197,-0.000811513970515381,-0.009958939880578745,-0.009502152533227158,-0.009238318121127225,-0.017889622607598396,-0.004831031588708342,-0.006048644355666053
1990-01-08,-0.00028207839922240926,-0.0009161217803934586,0.004679474271904729,0.004508547022914221,0.0005786541583003434,0.008354534862896577,0.0003662130449832213,0.006554748050686192,0.008177876214854806,0.004933355419954066,0.011437031193219134,0.0009554364285103167,-0.001178472046763238,0.0035511550141704377
1990-01-09,-0.0030007048900676007,-0.011026762124817352,-0.012488928433892254,-0.013885975553725791,-0.01360189605815143,-0.01571978912422971,-0.007447504896420775,-0.013617997210947072,-0.0060723888633866735,-0.011394344239376707,-0.00581306300349173,-0.01135700839319382,-0.003920105486044637,-0.016443586958552824
1990-01-10,-0.0080688562533636,-0.01707486566178772,-0.0068919870200207815,-0.003896072673731262,-0.021096254046395344,-0.0017404060996470468,-0.006662684098354437,-0.0033366095266982518,-0.01698675428984738,-0.0056480701554824835,-0.007518962989588016,-0.00504123106313986,-0.008586995447314555,-0.003253452805191186
1990-01-11,7.167563477381846e-05,-0.010336430151890213,0.003434792660300234,0.0014803464035444908,-0.00586585164766325,0.0065027921996574384,-0.00023946135990348056,0.0010771409845678741,-0.003105759694750411,0.0028644683782408304,-0.004076490026469981,0.0008447625702614398,-0.0019211358855577764,0.000518954088203426
1990-01-12,-0.021575168435681413,-0.021989447535824547,-0.025522111701835066,-0.024455120594517182,-0.0330877301078638,-0.023102414058443377,-0.021970478944635222,-0.020632552736783636,-0.021795696165122964,-0.02284535260566149,-0.014437888962587558,-0.027337014751156685,-0.024233091639506044,-0.030789129330318323
1990-01-15,-0.007857598549406269,-0.006133215598995742,-0.008610273616047125,-0.011995113513167115,-0.007710393538084881,0.0017991757831892826,-0.010726061408047077,-0.005275872666020743,-0.0056117443506092015,-0.00937171492545197,-0.006492486506146349,-0.005205027392858098,-0.011399061096511875,-0.010814966664781666
